round,exp_loss,exp_acc
1,1.3569705212253265,0.5635775862068966
2,0.9551543312511225,0.6745689655172413
3,0.7726445711892227,0.7306034482758621
4,0.6839174641959969,0.7568247126436781
5,0.6228902028209862,0.7859195402298851
6,0.5731594637892712,0.8056752873563219
7,0.5288918508195329,0.8257902298850575
8,0.49097500929887267,0.8394396551724138
9,0.45885664361646805,0.853448275862069
10,0.4317996222739932,0.8627873563218391
11,0.4089805379338648,0.8735632183908046
12,0.38902854217194965,0.8811063218390804
13,0.3704881541345311,0.8854166666666666
14,0.3557890835164607,0.8911637931034483
15,0.34254666820339774,0.8969109195402298
16,0.3309061100770687,0.9012212643678161
17,0.320215440001981,0.9037356321839081
18,0.31048047319910993,0.9069683908045977
19,0.3013440224973635,0.9123563218390804
20,0.29287695593532476,0.915948275862069
21,0.2846943152019347,0.9177442528735632
22,0.27679012099216727,0.920617816091954
23,0.26989820505353224,0.9220545977011494
24,0.26228794986489173,0.9238505747126436
25,0.2547747028627615,0.927801724137931
26,0.24781072679264793,0.9324712643678161
27,0.24104201519626312,0.9342672413793104
28,0.23457960861510244,0.9367816091954023
29,0.2276942854982683,0.9414511494252874
30,0.220757020187789,0.9439655172413793
31,0.21432456673904396,0.9457614942528736
32,0.20773268174165968,0.947198275862069
33,0.20113320271859222,0.9489942528735632
34,0.19384798476065712,0.9515086206896551
35,0.18737582639716138,0.9540229885057471
36,0.1804525638962614,0.9565373563218391
37,0.17373015877159162,0.9579741379310345
38,0.16688924218560086,0.9597701149425287
39,0.16066854233029246,0.9619252873563219
40,0.15522077354206437,0.9640804597701149
41,0.1493773523760938,0.9673132183908046
42,0.14378777094956102,0.9701867816091954
43,0.13738953656163708,0.9734195402298851
44,0.13160290406353173,0.975933908045977
45,0.12679495808036848,0.9773706896551724
46,0.12133442760370243,0.9798850574712644
47,0.11704959519121838,0.9802442528735632
48,0.11238655058303099,0.9809626436781609
49,0.10800113670271018,0.9816810344827587
50,0.10477237377701135,0.9823994252873564
51,0.1015489114683935,0.9820402298850575
52,0.09577840288308845,0.9852729885057471
53,0.09629326249504912,0.9838362068965517
54,0.09027177596400524,0.985632183908046
55,0.08456524936803456,0.9888649425287356
56,0.0800049334507564,0.9913793103448276
57,0.07751654079933276,0.9917385057471264
58,0.07249571961061708,0.992816091954023
59,0.06791874528701963,0.9931752873563219
60,0.0644422816005589,0.9938936781609196
