round,exp_loss,exp_acc
1,0.884476957025454,0.689405684754522
2,0.705799278677412,0.7545957918050942
3,0.608562782685138,0.7968992248062016
4,0.547830088055411,0.8174972314507198
5,0.5025856893698022,0.834108527131783
6,0.4649667386453765,0.8493170911775563
7,0.4325854630378306,0.8624584717607974
8,0.40491871186709133,0.8722775932078257
9,0.3810607538012263,0.8826135105204873
10,0.3612178449504883,0.8904392764857881
11,0.34424542252561535,0.8955334071613141
12,0.32928114574678974,0.9011443337024733
13,0.3157909358884959,0.9060169804355851
14,0.3034197651174355,0.9111849390919159
15,0.2924074737457562,0.9145071982281284
16,0.28269962776395924,0.9178294573643411
17,0.2734698180341663,0.9216685123661867
18,0.26494156096299754,0.924547803617571
19,0.25691437233059267,0.928313030638612
20,0.24948291988385343,0.9311184939091915
21,0.24248488256388065,0.9337763012181617
22,0.23623520757696337,0.9362864525655223
23,0.2299724406245429,0.9382059800664452
24,0.2242917386397593,0.940125507567368
25,0.21896916023036483,0.9419712070874862
26,0.21336783304722515,0.9433001107419712
27,0.208182042310803,0.9444813584348468
28,0.2031522105728823,0.9461794019933555
29,0.19816807798790995,0.947139165743817
30,0.1933743134125154,0.9494278331487633
31,0.1888501953730348,0.9510520487264673
32,0.18423239349412682,0.9525286083425618
33,0.17962752455283726,0.9544481358434846
34,0.17502078682083833,0.9559246954595791
35,0.1707408359783075,0.9576965669988926
36,0.16679927665120056,0.9591731266149871
37,0.16307021813331693,0.9613879660391288
38,0.1589089651340079,0.962421557770395
39,0.15537209112132527,0.9631598375784423
40,0.1515526290483781,0.9641934293097084
41,0.14816655860096492,0.9654485049833887
42,0.14430244169254702,0.9657438169066076
43,0.1410729648764034,0.9675895164267257
44,0.1382730221936198,0.9684754521963824
45,0.13530800674129903,0.9691399040236249
46,0.1325464544638004,0.9700996677740864
47,0.12945444505574405,0.9717238833517903
48,0.1268408824050584,0.9729051310446659
49,0.12396008329188891,0.973421926910299
50,0.12061233797738719,0.9746031746031746
51,0.11770205273093218,0.9762273901808786
52,0.11488126143166812,0.9768918420081211
53,0.11263408574425908,0.9778516057585825
54,0.11058920596263155,0.9794019933554817
55,0.1084860859581793,0.979328165374677
56,0.10572326080210097,0.9800664451827242
57,0.10475725259156757,0.9813215208564046
58,0.10211738337755434,0.9813953488372092
59,0.0987732249176994,0.9825027685492802
60,0.09788111486668492,0.9813953488372092
