round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,0.8999930915030565,0.8999930915030564,0.6326466230312485,0.6718927460731393,0.6180837803688969,0.5234019035142801,1.2136762574952489,0.4519774011299435,,,,4,0
2,0.4535910118018418,0.4535910118018418,0.8405484601704092,0.8168955871321176,0.8122607586750056,0.06474465219848567,0.6894652371593211,0.7517352703793382,,,,4,0
3,0.3706379059813422,0.3706379059813422,0.8625288468304975,0.837596778309208,0.8431063543024242,0.0494866489425029,0.5925357512353985,0.7753026634382567,,,,4,0
4,0.3209019638306319,0.32090196383063185,0.8825157173225496,0.857908365896197,0.8652474680770331,0.04116485363244149,0.5361073720349334,0.7977401129943503,,,,4,0
5,0.2831919320305478,0.2831919320305478,0.8965697705803244,0.8727543307701853,0.8811534702157109,0.03779309779692297,0.492962569354329,0.814043583535109,,,,4,0
6,0.25539182933739335,0.2553918293373933,0.9091392620688977,0.8897018317677038,0.8975938660811282,0.03295405499245436,0.457868312312481,0.8326069410815173,,,,4,0
7,0.2338392377143005,0.2338392377143005,0.9171206692840236,0.899003317463939,0.9074847237830103,0.034979444742604726,0.4287371570588698,0.8434221146085553,,,,4,0
8,0.2170102978807346,0.21701029788073456,0.9224360081863988,0.9046989590540868,0.913094290378467,0.033371342648214584,0.4056593097896707,0.8527845036319612,,,,4,0
9,0.2051086827761707,0.2051086827761707,0.9271578505213902,0.9101951891927048,0.9184870253387015,0.03266417339236836,0.38896903195767946,0.8603712671509282,,,,4,0
10,0.19512430276758658,0.19512430276758658,0.932279814178594,0.9150228558070451,0.9237589019313309,0.034445579010873376,0.37470693750137085,0.8692493946731235,,,,4,0
11,0.18779190845861293,0.18779190845861296,0.9344177832216544,0.91715248580679,0.9256359714410534,0.03539507318608792,0.3639997107329342,0.8721549636803874,,,,4,0
12,0.18202197137999854,0.18202197137999854,0.9358237740675959,0.9186416299704083,0.9270054951358704,0.03472811760116141,0.35525745285721533,0.8760290556900726,,,,4,0
13,0.17741931326519514,0.17741931326519514,0.9362802707383228,0.9202928455291581,0.9284476207984149,0.035751547871044016,0.3480741677503609,0.8774818401937046,,,,4,0
14,0.17418583665404247,0.17418583665404247,0.9379582077526961,0.9212631160084714,0.9295340440595863,0.03440704427933451,0.3421477315789562,0.8799031476997579,,,,4,0
15,0.17111693599225777,0.17111693599225777,0.9399856511277284,0.9238246992172967,0.9324003094037363,0.0330607730086448,0.3370511593767671,0.8831315577078289,,,,4,0
16,0.16833170909048498,0.16833170909048498,0.9412828839846222,0.9251945334971954,0.9336539647446117,0.033211512347592516,0.3317104596948316,0.8860371267150928,,,,4,0
17,0.16621666714760783,0.16621666714760783,0.9431157502522274,0.9285977348804765,0.9366691861399604,0.03235489435465342,0.32805350621781876,0.888135593220339,,,,4,0
18,0.16364701479023275,0.16364701479023272,0.944159977028297,0.9296507662848157,0.9371726877583766,0.030957728251588167,0.32455302248374407,0.8900726392251816,,,,4,0
19,0.16187266970689068,0.16187266970689068,0.9435138179495574,0.9297808548218981,0.9368094147293992,0.029560562148522915,0.32265298675273674,0.8895883777239709,,,,4,0
20,0.16017021991326091,0.16017021991326091,0.9441387034449846,0.9291897609430171,0.9373641871222619,0.027576956541969917,0.32149946341310615,0.8899112187247781,,,,4,0
