round,exp_loss,exp_acc
1,0.9819348451269895,0.8186435613982671
2,0.5994172645284769,0.872721840454138
3,0.42401162134486237,0.910367493277562
4,0.34260528598093154,0.9294890947116821
5,0.29779450101641564,0.9384523453839259
6,0.26753694515353643,0.9462204959665372
7,0.2437279175867919,0.9492082461906185
8,0.22572321633741255,0.9504033462802509
9,0.21062510490889402,0.9533910965043323
10,0.19805399585133493,0.9560800717060054
11,0.18747971228941326,0.9590678219300867
12,0.17893343829097128,0.9611592470869436
13,0.17152664010155047,0.9626531221989841
14,0.16515046050023563,0.964744547355841
15,0.1593617806336329,0.9689273976695548
16,0.15387631184331046,0.9707200478040036
17,0.14907295349456676,0.9713175978488199
18,0.14431017380033032,0.9728114729608605
19,0.13942738601502142,0.9746041230953092
20,0.1353026936957649,0.9757992231849417
