round,exp_loss,exp_acc
1,0.9096809636643971,0.7115044247787611
2,0.6579137969567946,0.807472959685349
3,0.5054010325242402,0.8676499508357916
4,0.43141756850123525,0.8912487708947886
5,0.3881465011290041,0.9020648967551622
6,0.35733384413529284,0.9103244837758112
7,0.33368391401062086,0.91976401179941
8,0.31376745253654825,0.9238938053097345
9,0.2967478866114729,0.9266470009832841
10,0.281493882267876,0.9307767944936086
11,0.2678767035375537,0.935693215339233
12,0.2563175701843016,0.9384464110127827
13,0.24540897916815627,0.9415929203539823
14,0.2343772229426261,0.9449360865290068
15,0.2246214657684929,0.9474926253687316
16,0.21461322702020552,0.9498525073746312
17,0.20600870509239072,0.9535889872173058
18,0.19716789319217498,0.9561455260570305
19,0.1891573559950704,0.9577187807276303
20,0.18168337303364876,0.9608652900688299
