round,exp_loss,exp_acc
1,1.2362614550200222,0.5829181494661921
2,0.9179944888128505,0.6775800711743772
3,0.7647011346664293,0.7131672597864769
4,0.6889559078683208,0.7508896797153025
5,0.6366706481607783,0.7743772241992882
6,0.5916212030152833,0.802846975088968
7,0.5527787684333706,0.8192170818505338
8,0.5185102691854022,0.8355871886120997
9,0.4893831477470669,0.8430604982206406
10,0.4651106842472036,0.8459074733096086
11,0.44409440276461565,0.8565836298932384
12,0.42588402414661286,0.8608540925266904
13,0.4096511594765551,0.8637010676156583
14,0.39456129167427795,0.8686832740213523
15,0.3811631461903718,0.8740213523131672
16,0.3691241652091627,0.8782918149466192
17,0.3574645996517982,0.8814946619217082
18,0.3470612692239021,0.8854092526690391
19,0.336968484807269,0.8889679715302491
20,0.32767659525430076,0.893594306049822
