round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,1.0894746770969188,0.6966151611731957,4,0
2,0.9635254811628852,0.6863678541170775,4,0
3,0.8926621825603083,0.716302900714084,4,0
4,0.8183793536679965,0.747206196796708,4,0
5,0.751752873185822,0.7718158712228184,4,0
6,0.6956695243941678,0.7919473917779482,4,0
7,0.6487228861494553,0.8103441320046799,4,0
8,0.608809414340998,0.826521967160205,4,0
9,0.5741669715825107,0.8390285230160971,4,0
10,0.542837484727209,0.8498002985435914,4,0
11,0.5154503218039997,0.8588776374712551,4,0
12,0.49048918571217803,0.8670270706418687,4,0
13,0.46747718012985306,0.8742485980554323,4,0
14,0.44679522358881113,0.8794932827691935,4,0
15,0.4275152258523563,0.886190341711381,4,0
16,0.41064473824099795,0.8904667769395247,4,0
17,0.39497421286252027,0.895509743010449,4,0
18,0.3803099782106211,0.9007544277242103,4,0
19,0.3666319628669389,0.9053132690523258,4,0
20,0.3540687708662578,0.9089038608948239,4,0
21,0.3422312050711843,0.9119296405373785,4,0
22,0.33127249955623594,0.9150764513656352,4,0
23,0.32098605320793616,0.919151167950942,4,0
24,0.3113353917697659,0.9228627909791423,4,0
25,0.30205809692849755,0.9251623835074838,4,0
26,0.29334308864968794,0.9277847258643643,4,0
27,0.2847179261760212,0.9304474119498124,4,0
28,0.27643368885276665,0.9326259732924517,4,0
29,0.26845080582224734,0.934602815992254,4,0
30,0.26073512968729323,0.9372251583491347,4,0
31,0.2533152092980274,0.9393633759632065,4,0
32,0.24627816812191075,0.9418243434058176,4,0
33,0.23968412997620775,0.9436801549199177,4,0
34,0.23311529246742368,0.9454149352483157,4,0
35,0.22665052356827928,0.9472304030338484,4,0
36,0.22056155790234325,0.9486020898051398,4,0
37,0.21450965667039237,0.9508613386049138,4,0
38,0.20894359971307613,0.9528381813047162,4,0
39,0.20319876162163267,0.954250211804575,4,0
40,0.19759502834662798,0.9560253358615404,4,0
41,0.19221686827385645,0.9578004599185057,4,0
42,0.18727040283242768,0.9592124904183644,4,0
43,0.18223164923033408,0.9610279582038972,4,0
44,0.17723286424606033,0.9628837697179974,4,0
45,0.17209691820212236,0.9643361439464235,4,0
46,0.16702285075565698,0.9658288619034171,4,0
47,0.16217568542840757,0.9676443296889499,4,0
48,0.15745496879091564,0.9686529229031348,4,0
49,0.15284293339810068,0.9699842659458587,4,0
50,0.1483902559482776,0.9710735466171784,4,0
51,0.14345888103804327,0.9723242022027676,4,0
52,0.13900760556951988,0.9737765764311938,4,0
53,0.1348624751159659,0.9749465445596482,4,0
54,0.13117164134523562,0.9758744503166983,4,0
55,0.12759801463310824,0.9768830435308832,4,0
56,0.12345311986696898,0.9782143865736072,4,0
57,0.119358676939374,0.9795860733448986,4,0
58,0.11725555206265949,0.9801912292734094,4,0
59,0.11377705484721483,0.9820066970589422,4,0
60,0.11552066707146261,0.9822487594303465,4,0
