round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,1.1348512188759015,1.1348512188759015,0.22984282506634007,0.07661427502211336,0.12178046323449888,,1.1348512190705684,0.22984282506634007,,,,4,0
2,0.4539168800084195,0.4539168800084195,0.8397632169830578,0.8128632200989062,0.8135197108244071,,0.45391687998408614,0.8397632169830578,,,,4,0
3,0.3738263982440725,0.3738263982440725,0.863849765258216,0.8499020946705405,0.8524562339503308,,0.3738263982927393,0.863849765258216,,,,4,0
4,0.3300296014414731,0.3300296014414731,0.8814043682384161,0.8706436494146284,0.8747225034345276,,0.33002960143691057,0.8814043682384161,,,,4,0
5,0.2994001985545255,0.2994001985545255,0.8909981628903858,0.8802966858725235,0.88581305384608,,0.2994001986997654,0.8909981628903858,,,,4,0
6,0.2766526249093069,0.2766526249093069,0.9022249438660951,0.8906090643939835,0.8958809482135283,,0.2766526248172963,0.9022249438660951,,,,4,0
7,0.25829007385165914,0.25829007385165914,0.913247601551337,0.9016681342106624,0.9067557476642949,,0.25829007390488845,0.913247601551337,,,,4,0
8,0.2420176651604834,0.2420176651604834,0.9208001632986323,0.9103862926669077,0.9149417601449116,,0.24201766518177512,0.9208001632986323,,,,4,0
9,0.2284953875988448,0.2284953875988448,0.9261073688507859,0.9151006438686121,0.9197886844607417,,0.22849538762355842,0.9261073688507859,,,,4,0
10,0.2169309579600945,0.2169309579600945,0.9324351908552766,0.9216229345585387,0.9259657334744368,,0.21693095798290707,0.9324351908552766,,,,4,0
11,0.20770114429095834,0.20770114429095834,0.9357011635027557,0.9243174929901127,0.9292615442507026,,0.2077011443141511,0.9357011635027557,,,,4,0
12,0.20028348406691238,0.20028348406691238,0.9389671361502347,0.9272686530786727,0.9325827046783608,,0.20028348408896451,0.9389671361502347,,,,4,0
13,0.1941405125213268,0.1941405125213268,0.9426413553786487,0.931607328920148,0.9369746378968498,,0.19414051249661318,0.9426413553786487,,,,4,0
14,0.1893046899921287,0.1893046899921287,0.945090834864258,0.934480274123159,0.9399393890245453,,0.18930468994441246,0.945090834864258,,,,4,0
15,0.1858707614414885,0.1858707614414885,0.9442743417023882,0.9339508252038955,0.9402953630418722,,0.185870761466012,0.9442743417023882,,,,4,0
16,0.18234152986969746,0.18234152986969746,0.945090834864258,0.9352405074065945,0.9411699810260719,,0.18234152989498137,0.945090834864258,,,,4,0
17,0.17948086164659033,0.17948086164659033,0.9446825882833231,0.9352782771989435,0.9412081580005367,,0.1794808617195905,0.9446825882833231,,,,4,0
18,0.17635675930787068,0.17635675930787068,0.9448867115737906,0.9348876761453094,0.9411866112886946,,0.1763567592841076,0.9448867115737906,,,,4,0
19,0.1740171856498397,0.1740171856498397,0.9454990814451929,0.934924540424612,0.9414297053372233,,0.1740171856741731,0.9454990814451929,,,,4,0
20,0.17191695386042374,0.17191695386042374,0.9461114513165952,0.9348413778569226,0.9421103405790936,,0.1719169538120421,0.9461114513165952,,,,4,0
