round,exp_loss,exp_acc
1,1.3727557645446953,0.5341235632183908
2,0.9601822022734017,0.6749281609195402
3,0.7767996966153726,0.7248563218390804
4,0.6869601470300521,0.7557471264367817
5,0.6254180556741255,0.7844827586206896
6,0.5750674420389635,0.8056752873563219
7,0.5317296272721784,0.8204022988505747
8,0.4952793974300911,0.8362068965517241
9,0.46459743911507484,0.8502155172413793
10,0.43886236418252705,0.8627873563218391
11,0.4169335204294358,0.8685344827586207
12,0.39784070010157835,0.8742816091954023
13,0.38189368155495873,0.8789511494252874
14,0.3678915807227979,0.8879310344827587
15,0.3556551594158699,0.8911637931034483
16,0.34401531877188846,0.896551724137931
17,0.3333917150552245,0.8979885057471264
18,0.32290123497275103,0.9012212643678161
19,0.31263798149837846,0.9044540229885057
20,0.30271739161562644,0.9076867816091954
