round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.7198562278768115,0.7659813274832916,4,0
2,0.5003144042989769,0.852507525126269,4,0
3,0.38287000740953786,0.8906688434263558,4,0
4,0.32306537654371165,0.9074026835365543,4,0
5,0.28684796808456364,0.9189327075149227,4,0
6,0.2612870321716224,0.9259731646344574,4,0
7,0.24114939636186364,0.9333707463904903,4,0
8,0.22462490851254457,0.9394928830161726,4,0
9,0.21074390546696922,0.9435743074332942,4,0
10,0.19883534556204285,0.9470435181878476,4,0
11,0.18829360762678976,0.9509208713841131,4,0
12,0.17887644589207294,0.9545941533595225,4,0
13,0.170416770872299,0.9573491148410795,4,0
14,0.16274450359390216,0.9600020407122085,4,0
15,0.15558317561962826,0.9623998775572675,4,0
16,0.14866455818251484,0.9641344829345442,4,0
17,0.14207355882572412,0.9665833375848171,4,0
18,0.1359323040869177,0.968930156624662,4,0
19,0.13014676832040867,0.9701545839497985,4,0
20,0.12453060607501368,0.9720422427427172,4,0
