round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.9522195624142276,0.6907249768023561,4,0
2,0.7136068289229536,0.7731472142655424,4,0
3,0.5870796077868089,0.8139347238471779,4,0
4,0.519553877283721,0.8350748376164925,4,0
5,0.47299021017584125,0.8518578287005285,4,0
6,0.4353239955161508,0.8670270706418687,4,0
7,0.4036612376386143,0.8782829709121717,4,0
8,0.3769341486447513,0.8874409972969702,4,0
9,0.35408355493081817,0.8953887118247469,4,0
10,0.3342163391405593,0.9019647395812321,4,0
11,0.31733348300932934,0.9074514866663977,4,0
12,0.3027668428670145,0.911889296808811,4,0
13,0.28988842272774595,0.91515713882277,4,0
14,0.2785746292345063,0.9190301367652398,4,0
15,0.2683500410471095,0.9232662282648162,4,0
16,0.2588718101403597,0.92661475773591,4,0
17,0.25012568342056635,0.9295598499213298,4,0
18,0.2419115080448074,0.9328276919352887,4,0
19,0.2344076027543251,0.9354096905636019,4,0
20,0.22736328007787793,0.9380320329204825,4,0
