round,exp_loss,exp_acc
1,0.8601813934117885,0.799521959964147
2,0.5526603631895622,0.8745144905885868
3,0.36530149199373513,0.9160442187033164
4,0.2832125844993198,0.9321780699133553
5,0.24117039920039274,0.9441290708096803
6,0.21518852348011716,0.9483119211233941
7,0.19570643460577838,0.9518972213922916
8,0.18104752851914463,0.9542874215715567
9,0.1688342186045497,0.9587690469076785
10,0.15837221470454718,0.9614580221093516
11,0.14913491875129134,0.964744547355841
12,0.1410454121015661,0.9668359725126979
13,0.1332695604612801,0.9686286226471467
14,0.12616483598929717,0.9722139229160442
15,0.11950264128177138,0.974006573050493
16,0.11330790947182234,0.9760979982073499
17,0.10757706479275445,0.9781894233642068
18,0.10258271571661702,0.9796832984762474
19,0.09703166098791627,0.9802808485210637
20,0.09223159573124101,0.9817747236331043
