round,exp_loss,exp_acc
1,0.6529731635575542,0.7500257811694339
2,0.4620740676283947,0.856141074559142
3,0.3719240865246886,0.8823347427039291
4,0.31921654021640383,0.9014128080849747
5,0.28236792424271695,0.9131690213468083
6,0.254788172532999,0.9237908631535526
7,0.23365355031928833,0.9325564607610601
8,0.21606348308814216,0.9378158193255646
9,0.20194752433763602,0.9420439311127152
10,0.18959433412759638,0.9453439208002475
11,0.17864486070251273,0.948437661132309
12,0.16882407633712382,0.9516345261421058
13,0.15985353675703481,0.9563782613179334
14,0.1516361259299725,0.959781375683201
15,0.1441303460547681,0.9622563679488502
16,0.13713721180275332,0.9641126121480871
17,0.1309320820685458,0.9666907290914716
18,0.12445103345525084,0.9692688460348562
19,0.11887423423774571,0.9709188408786222
20,0.11372538168927197,0.9728782097555945
