round,exp_loss,exp_acc
1,0.8459743405228983,0.7962354347176576
2,0.5226184408059931,0.8921422169106663
3,0.3400115709020588,0.9250074693755602
4,0.2609372888620768,0.9411413205855991
5,0.21985029301644796,0.9501045712578429
6,0.19389670979079113,0.9569763967732298
7,0.1759018808523149,0.9602629220197192
8,0.1623294132705728,0.9617567971317598
9,0.15159847874729748,0.9632506722438005
10,0.1429238103871065,0.9662384224678817
11,0.13521623103020972,0.9701224977591874
12,0.12852439516501388,0.9713175978488199
13,0.1224895843822528,0.9722139229160442
14,0.11701479358061556,0.9737077980280848
15,0.11189362589711747,0.9760979982073499
16,0.10718176694887946,0.9775918733193905
17,0.10289784128189729,0.9796832984762474
18,0.09883766812123503,0.9802808485210637
19,0.09494893233816874,0.981177173588288
20,0.09101266706874914,0.9817747236331043
21,0.08719190931788551,0.9832685987451449
22,0.0836619574755813,0.9832685987451449
23,0.07988355934958263,0.9841649238123693
24,0.07625786250127156,0.9850612488795937
25,0.07267254681031776,0.9856587989244099
26,0.06939625450553807,0.9877502240812668
27,0.0665666387664905,0.9895428742157155
28,0.06354023248495932,0.9898416492381237
29,0.060473887220332256,0.99043919928294
30,0.05749105962957772,0.990737974305348
31,0.054651838883396975,0.9916342993725724
32,0.052000690111347836,0.9928293994622049
33,0.04974369505380815,0.9931281744846131
34,0.0477119555108612,0.9937257245294293
35,0.04583531737434426,0.9940244995518375
36,0.044011365498736396,0.9946220495966537
37,0.04242544370798841,0.9949208246190618
38,0.040832748575943566,0.99521959964147
39,0.03948856794592833,0.9958171496862862
40,0.038305281991740645,0.9958171496862862
41,0.03727910162901608,0.9958171496862862
42,0.03600911414325861,0.9964146997311025
43,0.0348054962024017,0.9964146997311025
44,0.03346330428861632,0.9967134747535106
45,0.0324839479822809,0.9967134747535106
46,0.03102984703289223,0.9967134747535106
47,0.030214338634894398,0.9970122497759187
48,0.030025102328904214,0.9967134747535106
49,0.028770356106538185,0.9973110247983269
50,0.02737405278625633,0.9979085748431431
51,0.027535877051680594,0.9973110247983269
52,0.026829854374590616,0.9979085748431431
53,0.02559214439282034,0.9982073498655513
54,0.024640096938346068,0.9979085748431431
55,0.023885938708180985,0.9982073498655513
56,0.022754217962970082,0.9982073498655513
57,0.02216333727131664,0.9985061248879593
58,0.02253171241883114,0.9985061248879593
59,0.024894063987343177,0.9979085748431431
60,0.02375713458175103,0.9979085748431431
