round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.7456662320682002,0.7470537217488904,4,0
2,0.5241914978167712,0.8506708841385644,4,0
3,0.3926424800385675,0.8914851283097801,4,0
4,0.3276568250637031,0.906535380847916,4,0
5,0.2899276029538466,0.9167389418907199,4,0
6,0.2636980451018182,0.924697719504107,4,0
7,0.24370347966331832,0.9315851232079996,4,0
8,0.2273630510787016,0.9372991173919698,4,0
9,0.21394938604354943,0.9417886842508035,4,0
10,0.20236085354635638,0.9458190908627111,4,0
11,0.1922091532799457,0.9501045865006887,4,0
12,0.1831146333476675,0.9527575123718177,4,0
13,0.17472022696421052,0.9546451711647365,4,0
14,0.1668067626540308,0.9576042038671496,4,0
15,0.1595235460130276,0.9605122187643488,4,0
16,0.15270908040742742,0.9630631090250498,4,0
17,0.14618659136848883,0.9652568746492526,4,0
18,0.14008002172100545,0.9670935156369573,4,0
19,0.1344107301129087,0.968879138819448,4,0
20,0.12892818210563742,0.9706647620019386,4,0
