round,exp_loss,exp_acc
1,1.059978326078093,0.6918420081210779
2,0.7092380455870081,0.7648578811369509
3,0.6083071907581373,0.7969730527870063
4,0.5500435557608324,0.8178663713547435
5,0.5038975452091827,0.83624953857512
6,0.4658560577509103,0.8488002953119232
7,0.43430672033372597,0.8614248800295312
8,0.40794387653156505,0.8706533776301218
9,0.38573288469131517,0.8787744555186415
10,0.36643414582304956,0.8860095976375046
11,0.3500428773504027,0.8925064599483205
12,0.3355762923278682,0.8978959025470653
13,0.322660808380172,0.9018087855297158
14,0.3110176063279201,0.9059431524547804
15,0.3001605274383324,0.9101513473606497
16,0.2898640543497458,0.9129568106312292
17,0.28083529241985394,0.9166482096714654
18,0.27242093776899673,0.9210040605389442
19,0.2641369080490712,0.9244739756367664
20,0.2565546694828074,0.926984126984127
