round,exp_loss,exp_acc
1,1.308990627286943,0.687905604719764
2,0.8960153913662028,0.7805309734513274
3,0.8047922175776876,0.8208456243854474
4,0.7573247345968451,0.839724680432645
5,0.7154403028762446,0.8523107177974435
6,0.6751692983253164,0.8656833824975418
7,0.6382207040355387,0.8768928220255654
8,0.6036150229950101,0.8896755162241888
9,0.5726219703783093,0.8977384464110127
10,0.5437069055194818,0.9056047197640118
11,0.5178738987287589,0.9113077679449361
12,0.4942308754197733,0.9177974434611603
13,0.47318283213392237,0.9227138643067847
14,0.4538500641914947,0.9254670599803343
15,0.4355284587354669,0.9303834808259587
16,0.41827776425883484,0.9352999016715831
17,0.40275059956013276,0.9382497541789577
18,0.3877555986567819,0.9400196656833825
19,0.3743680155368095,0.9431661750245821
20,0.36149813298982153,0.9459193706981318
