round,loss,accuracy
1,1.0297600960030275,0.6029411764705882
2,0.9270769532989053,0.9613970588235294
3,0.8270464837551117,0.9347426470588235
4,0.7463598067269606,0.9319852941176471
5,0.6815689171061796,0.9273897058823529
6,0.6211321441566243,0.9329044117647058
7,0.5757547270725755,0.9338235294117647
8,0.5341885453637909,0.9448529411764706
9,0.5009289309382439,0.9549632352941176
10,0.474664131508154,0.9604779411764706
11,0.45455123659442453,0.9623161764705882
12,0.43680771571748395,0.9650735294117647
13,0.42144976906916676,0.9669117647058824
14,0.4090951821383308,0.9659926470588235
15,0.3961468360879842,0.9650735294117647
16,0.38496298277202773,0.9641544117647058
17,0.37310339028344436,0.9632352941176471
18,0.36112701717545004,0.9650735294117647
19,0.35012799391851707,0.9650735294117647
20,0.3357117787441787,0.9659926470588235
