round,loss,accuracy
1,1.0434447408323024,0.9659949622166247
2,0.8440373579711097,0.9112090680100756
3,0.5778131114896058,0.9880352644836272
4,0.4315984869934149,0.9899244332493703
5,0.33841438246163674,0.9880352644836272
6,0.2836197039642622,0.989294710327456
7,0.24407836074192518,0.9905541561712846
8,0.210823043993198,0.9911838790931989
9,0.1825675941459478,0.9918136020151134
10,0.1589138862543202,0.9943324937027708
11,0.13855890518697142,0.9955919395465995
12,0.1227336314973663,0.9955919395465995
13,0.11218312767425773,0.9955919395465995
14,0.10127407396845613,0.9981108312342569
15,0.09446796687596691,0.9974811083123426
16,0.08653863943099825,0.9981108312342569
17,0.08223943049158497,0.9974811083123426
18,0.07849027733940171,0.9974811083123426
19,0.07654039202356519,0.9968513853904282
20,0.07427373244157366,0.9968513853904282
