round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,1.1118084231417995,1.1118084231417995,0.41971824955404713,0.32566741612341266,0.2733424945051783,,1.641097708110178,0.3162227602905569,,,,4,0
2,1.0986643106411647,1.0986643106411644,0.596474057902196,0.540112525154693,0.5112166889506249,,1.6381195571559202,0.4626311541565779,,,,4,0
3,1.1275341831734422,1.1275341831734422,0.6148466898391752,0.5528192180307341,0.5736904646102097,,1.686784712300366,0.4776432606941082,,,,4,0
4,1.1232332775027518,1.1232332775027518,0.6143284123913685,0.5650915512761756,0.581590722394884,,1.6983761265741615,0.47619047619047616,,,,4,0
5,1.0844885474728732,1.0844885474728732,0.6212241451344316,0.5659170683502128,0.5926586126878077,,1.6620979323706577,0.48700564971751414,,,,4,0
6,1.052203627290344,1.052203627290344,0.6275316706950268,0.5674584536358648,0.6005201470295062,,1.6277837784469271,0.4937853107344633,,,,4,0
7,1.018061397828469,1.018061397828469,0.6374205163179567,0.5727054617263592,0.609263829694378,,1.5886622230885392,0.5070217917675545,,,,4,0
8,0.9916563715537074,0.9916563715537074,0.6406411581290262,0.5729754116442352,0.6117645045306666,,1.5640117608125024,0.5138014527845036,,,,4,0
9,0.9685244734429699,0.9685244734429699,0.6444601088152702,0.6452891256125092,0.6168856921031278,,1.5453680675197168,0.5167070217917675,,,,4,0
10,0.9474948037271511,0.9474948037271511,0.6470574416786692,0.6253713427254446,0.6205589722199711,,1.5245758253302277,0.5221953188054883,,,,4,0
11,0.9256056800914562,0.9256056800914562,0.6511034012942337,0.6333047450415573,0.627175865483401,,1.5020203881536982,0.5268765133171913,,,,4,0
12,0.9061461841153277,0.9061461841153277,0.6509272871972885,0.6308246255920711,0.627827447204306,,1.481433448048731,0.530589184826473,,,,4,0
13,0.8922883528902589,0.8922883528902589,0.6542761929017381,0.636558768496511,0.6320970936616769,,1.4687215649571699,0.5336561743341405,,,,4,0
14,0.8759394517361974,0.8759394517361971,0.6571722260330203,0.6408121879132679,0.6355415053121629,,1.452262253641986,0.5372074253430186,,,,4,0
15,0.8632622182390204,0.8632622182390204,0.6614026474112809,0.6508476904963497,0.6410693804295622,,1.442829356374425,0.5389830508474577,,,,4,0
16,0.8543443847093932,0.8543443847093931,0.6631089150728624,0.6630808803621459,0.6438948644366987,,1.4349356475426749,0.5414043583535109,,,,4,0
17,0.8442195905282547,0.8442195905282547,0.6646288645531683,0.6717072990313918,0.6466811456094035,,1.427230921207271,0.5418886198547216,,,,4,0
18,0.8343053772819257,0.8343053772819257,0.6675934420025785,0.6753217015402087,0.651279972153845,,1.4208862709364072,0.5433414043583535,,,,4,0
19,0.8278409999139846,0.8278409999139847,0.6696853285210542,0.6730833618671014,0.6544463097589187,,1.4186663639170205,0.5446327683615819,,,,4,0
20,0.8218298627467233,0.8218298627467232,0.6723062684634704,0.6749342956992865,0.6583148204544165,,1.4162871344037553,0.5456012913640033,,,,4,0
