round,exp_loss,exp_acc
1,0.8857656476109527,0.687781469176818
2,0.7087315247128396,0.7558508674787745
3,0.6155270223205668,0.7897379106681433
4,0.5566765249677583,0.8161683277962348
5,0.511791998385591,0.8329272794389073
6,0.47420455953563523,0.8476190476190476
7,0.44243940700680273,0.8597268364710225
8,0.4155836097051755,0.8686600221483942
9,0.39303759299067387,0.8753783684016242
10,0.3737790921685792,0.8822443706164637
11,0.356870488516076,0.889110372831303
12,0.34189907776644946,0.8949427833148763
13,0.32840659351487933,0.8996677740863788
14,0.3159661349279056,0.9043927648578811
15,0.30464253487095,0.9094130675526024
16,0.2942991534313314,0.9142857142857143
17,0.2849101093971408,0.9187892211148025
18,0.2756618008969146,0.9215946843853821
19,0.2674394099617321,0.9251384274640089
20,0.2595074605352107,0.926984126984127
