round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,1.119562834860184,1.119562834860184,0.2208614002857726,0.0736204667619242,0.11761207686387055,,1.11956283461685,0.2208614002857726,,,,4,0
2,0.4731259930496387,0.4731259930496387,0.8207797509695857,0.7897722498711703,0.7910946545666965,,0.4731259930618054,0.8207797509695857,,,,4,0
3,0.3936131893554301,0.3936131893554301,0.8464992855684834,0.8230863798587954,0.8302848842945432,,0.3936131893706385,0.8464992855684834,,,,4,0
4,0.3482439573819989,0.3482439573819989,0.8595631761583997,0.8422009992666564,0.8490442632627287,,0.34824395718733175,0.8595631761583997,,,,4,0
5,0.31485058121789256,0.31485058121789256,0.8740559297815881,0.8596262302267254,0.8671434217674581,,0.3148505814064763,0.8740559297815881,,,,4,0
6,0.2876144418499377,0.2876144418499377,0.883241477852623,0.8688931820341583,0.8784114497059556,,0.2876144417571666,0.883241477852623,,,,4,0
7,0.26517068901751134,0.26517068901751134,0.8942641355378649,0.8808578039299625,0.8898603108995051,,0.26517068882512546,0.8942641355378649,,,,4,0
8,0.24565123908250616,0.24565123908250616,0.9052867932231068,0.8901588879941648,0.899041324419916,,0.24565123907794367,0.9052867932231068,,,,4,0
9,0.2306843401704864,0.23068434017048633,0.9130434782608695,0.8960801099256687,0.9056197812199328,,0.23068434026477824,0.9130434782608695,,,,4,0
10,0.21725060766291732,0.21725060766291732,0.920596040008165,0.9024566544933441,0.9124287929102399,,0.21725060766443813,0.920596040008165,,,,4,0
11,0.2073006017715694,0.2073006017715694,0.9261073688507859,0.9070275706894602,0.9169526426387307,,0.20730060187156443,0.9261073688507859,,,,4,0
12,0.1979494348524249,0.1979494348524249,0.9295774647887324,0.9105550144606029,0.9211914040267184,,0.1979494348524249,0.9295774647887324,,,,4,0
13,0.19081286252287122,0.19081286252287122,0.9332516840171463,0.9135053427323134,0.9241119220797479,,0.19081286252401183,0.9332516840171463,,,,4,0
14,0.18511683899155684,0.18511683899155684,0.9352929169218208,0.9155355699826824,0.9263589554013327,,0.18511683879803031,0.9352929169218208,,,,4,0
15,0.18004004007871113,0.18004004007871113,0.9377423964074301,0.9185455017111686,0.9287545166603589,,0.18004003998137758,0.9377423964074301,,,,4,0
16,0.17536322152913894,0.17536322152913894,0.9410083690549091,0.9228648327895839,0.9323031119102834,,0.17536322152951916,0.9410083690549091,,,,4,0
17,0.1706233396228904,0.1706233396228904,0.9420289855072463,0.9248214847238024,0.9339585431802377,,0.1706233394791713,0.9420289855072463,,,,4,0
18,0.16545200983914435,0.16545200983914435,0.9436619718309859,0.9258613001663332,0.9359313711706533,,0.16545200969466484,0.9436619718309859,,,,4,0
19,0.15986919909514902,0.15986919909514902,0.9459073280261278,0.928108170942628,0.937416682129444,,0.15986919914571684,0.9459073280261278,,,,4,0
20,0.15583994141930974,0.15583994141930974,0.9483568075117371,0.932495791227846,0.9407133001465483,,0.15583994147025776,0.9483568075117371,,,,4,0
