round,exp_loss,exp_acc
1,1.2350929660358647,0.5459770114942529
2,0.936835336959225,0.6918103448275862
3,0.7544865388979857,0.7438936781609196
4,0.6631916843611618,0.7729885057471264
5,0.6044624067586044,0.7902298850574713
6,0.5581197536539757,0.8067528735632183
7,0.5175745106976608,0.8283045977011494
8,0.4829072082179716,0.8415948275862069
9,0.45442478958217575,0.8552442528735632
10,0.42944267597691765,0.8692528735632183
11,0.4082455165769862,0.8771551724137931
12,0.38975898424784344,0.8843390804597702
13,0.3732763477440538,0.8890086206896551
14,0.3584611552885209,0.8908045977011494
15,0.3450998920818855,0.8969109195402298
16,0.33315185226243116,0.9030172413793104
17,0.32288834024434804,0.90625
18,0.31314563631326303,0.9073275862068966
19,0.3041682906191924,0.9112787356321839
20,0.29609529451392164,0.9145114942528736
