round,exp_loss,exp_acc
1,0.8997936148844156,0.6823181985972684
2,0.7008403412659435,0.7617571059431525
3,0.6108398399347746,0.7932078257659653
4,0.5558949072539653,0.8133628645256552
5,0.5106530261286162,0.8287929125138428
6,0.47128278796810996,0.8442229605020303
7,0.43719699732180933,0.8579549649317091
8,0.40872754087391794,0.8699889258028793
9,0.385082536233928,0.8789959394610557
10,0.3650757952605987,0.8849760059062385
11,0.3477279110692356,0.8905869324473976
12,0.33254686899843494,0.896124031007752
13,0.3189172529919027,0.9006275378368401
14,0.30697213280196556,0.9055740125507568
15,0.2959784840384547,0.9100775193798449
16,0.2862228118282,0.9134736064968623
17,0.27745672574603014,0.9164267257290513
18,0.26896524121506976,0.9193060169804356
19,0.2610290167471631,0.9226282761166482
20,0.25395017794552394,0.9246216315983757
