round,exp_loss,exp_acc
1,1.1818666002057294,0.7890648341798626
2,0.9771599149326442,0.7436510307738273
3,0.7747253831336846,0.8078876605915746
4,0.6229987327985561,0.8386614878996116
5,0.524188831399582,0.8670451150283837
6,0.4606740309973421,0.8858679414400956
7,0.4137949296207901,0.898715267403645
8,0.3775847915271734,0.9061846429638483
9,0.3498189833971291,0.9121601434120108
10,0.32774941930405443,0.9193307439498059
11,0.309198231368696,0.9235135942635195
12,0.293896560846851,0.929190319689274
13,0.2810085112652495,0.9324768449357633
14,0.27009697094635354,0.9378547953391096
15,0.2605975429611773,0.9405437705407828
16,0.25172368432822284,0.9450253958769047
17,0.24367296066183028,0.9486106961458022
18,0.23630591266220066,0.9492082461906185
19,0.22997966139600423,0.9498057962354347
20,0.22371666039464577,0.9521959964146998
