round,exp_loss,exp_acc
1,0.6703359493007484,0.8156793657784629
2,0.47724344562497123,0.874697203259194
3,0.35484366341063533,0.9209425236731997
4,0.29941911983269476,0.9306320193789914
5,0.2718575110462525,0.9367980621008588
6,0.25381280824893165,0.9409821625192689
7,0.2398282998138733,0.9451662629376789
8,0.2283279292598823,0.9484695001101079
9,0.21755746491967096,0.95023122660207
10,0.20792146306013226,0.9522131689055274
11,0.19866000935582961,0.9550759744549658
12,0.1898020593290732,0.9581589958158996
13,0.18161323099124146,0.9612420171768333
14,0.1740143088768676,0.9636643911032812
15,0.16675688959190535,0.9654261175952433
16,0.1601342511968554,0.9671878440872055
17,0.15324054987790617,0.9687293547676723
18,0.14692598907000115,0.9707112970711297
19,0.1405002309201809,0.9731336709975776
20,0.13433985805159043,0.9748953974895398
