round,exp_loss,exp_acc
1,1.0032424744328263,0.743528946848449
2,0.7324084112517473,0.7992491602450109
3,0.6274361940234388,0.8369887374036752
4,0.5771779332429942,0.8506224066390041
5,0.5364838619814916,0.8650464335111638
6,0.49676111529547573,0.8786801027464928
7,0.45835874117638514,0.8911282355265758
8,0.4228384570391417,0.9047619047619048
9,0.3914052461875896,0.9142461964038727
10,0.36442755595235293,0.9241256668642561
11,0.34138054866325335,0.9288678126852401
12,0.32149391792857396,0.9330171902786011
13,0.30339089139627623,0.9383521043272081
14,0.28704562016542523,0.9428966607389844
15,0.2716630434735541,0.9456629124678917
16,0.25809652699097607,0.9486267536060067
17,0.24582331192585302,0.951393005334914
18,0.234250445713099,0.9529737206085753
19,0.22371009133522088,0.9553447935190674
20,0.21394835538224397,0.9585062240663901
