round,exp_loss,exp_acc
1,1.0947879383305417,0.7693456827009262
2,0.5743552061882452,0.8849716163728713
3,0.3915333678589175,0.9199282939946221
4,0.31712197654632657,0.9324768449357633
5,0.2765344844750942,0.9441290708096803
6,0.24870236131159768,0.9510008963250672
7,0.22783253499739983,0.952793546459516
8,0.21162548259207836,0.955183746638781
9,0.19817991056325082,0.9578727218404541
10,0.18674667621232305,0.9602629220197192
11,0.1773758107378371,0.9608604720645354
12,0.16864790560408852,0.9629518972213923
13,0.16068783114392401,0.9656408724230654
14,0.1532805242047297,0.9677322975799223
15,0.14667528749073233,0.9680310726023305
16,0.1409210869677928,0.9698237227367792
17,0.13573786803758567,0.9716163728712279
18,0.13083066210965452,0.9731102479832686
19,0.12634592247091195,0.9734090230056768
20,0.12201611567561328,0.9743053480729011
