round,exp_loss,exp_acc
1,0.9065915893078319,0.7142576204523107
2,0.6679025603196379,0.8035398230088495
3,0.5042687353776033,0.8656833824975418
4,0.42113577806140823,0.8924287118977384
5,0.3732257449580036,0.904228121927237
6,0.3401370459660199,0.9162241887905604
7,0.3145944609168474,0.9235004916420846
8,0.29369395146679383,0.9286135693215339
9,0.2766712802115209,0.9325467059980335
10,0.2616441593438592,0.9372664700098329
11,0.24879872433496905,0.9411996066863324
12,0.2375288367417944,0.9445427728613569
13,0.22722162262059478,0.9467059980334317
14,0.21795731881668198,0.9498525073746312
15,0.20949869182843608,0.9533923303834808
16,0.20147146550075845,0.9541789577187807
17,0.19355030428314163,0.9567354965585054
18,0.18602442372747813,0.9583087512291052
19,0.17877649624439115,0.96007866273353
20,0.17233457919594813,0.9620452310717797
