round,exp_loss,exp_acc
1,0.9840841074718589,0.6795865633074936
2,0.7265298883648278,0.7565891472868217
3,0.6224150327220972,0.7925433739387228
4,0.5615520974814385,0.8127722406792174
5,0.5167247606582331,0.8326319675156885
6,0.4806130618242022,0.8476928755998523
7,0.4504411485834111,0.858250276854928
8,0.42450680311600103,0.867921742340347
9,0.4020323637646034,0.8761166482096715
10,0.3820536619273003,0.8846806939830195
11,0.3650227732568616,0.8906607604282023
12,0.34948884160613697,0.8968623108157991
13,0.33558801612144645,0.9011443337024733
14,0.32254550014861444,0.9051310446659284
15,0.3107142933810404,0.9095607235142119
16,0.30026191859700313,0.9131044665928387
17,0.2904098647487432,0.9161314138058324
18,0.2814169129236416,0.9186415651531931
19,0.2731789466022521,0.9219638242894057
20,0.2650831859318169,0.9254337393872277
