round,loss,accuracy
1,1.0374592123764288,0.9773299748110831
2,0.8317579654061824,0.9785894206549118
3,0.5796275464653668,0.9905541561712846
4,0.4325041663586643,0.9955919395465995
5,0.33654050116124623,0.9968513853904282
6,0.2730498979388917,0.9974811083123426
7,0.22572605806386442,0.9981108312342569
8,0.18896003491632285,0.9974811083123426
9,0.1602711580759407,0.9981108312342569
10,0.1365294073865531,0.9981108312342569
11,0.1195106434164292,0.9981108312342569
12,0.105575970864341,0.9981108312342569
13,0.09351566192747963,0.9981108312342569
14,0.08362620368468521,0.9981108312342569
15,0.07537717590113206,0.9981108312342569
16,0.06826768611893246,0.9981108312342569
17,0.06226453999226317,0.9981108312342569
18,0.056717271620398316,0.9987405541561712
19,0.05123472435432733,0.9987405541561712
20,0.04555823734224837,0.9987405541561712
