round,loss,accuracy
1,1.0669936029350056,0.9227941176470589
2,0.9338767072733711,0.9494485294117647
3,0.8395933771834654,0.9420955882352942
4,0.7798823179567561,0.9420955882352942
5,0.7379306966767591,0.9420955882352942
6,0.7011937560404048,0.9420955882352942
7,0.6682171208017013,0.9485294117647058
8,0.6351977174772936,0.9512867647058824
9,0.6023087409489295,0.9558823529411765
10,0.5717375037424705,0.9604779411764706
11,0.5435648477252792,0.9632352941176471
12,0.5175532816964037,0.9641544117647058
13,0.49677029427360087,0.9613970588235294
14,0.4783593525781351,0.9632352941176471
15,0.4614783354541835,0.9632352941176471
16,0.44896040681530447,0.9604779411764706
17,0.43483642510631504,0.9613970588235294
18,0.41860779966501627,0.9595588235294118
19,0.4060615217861007,0.9577205882352942
20,0.39447348849738345,0.9586397058823529
