round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,1.2309782334351667,0.6814862629604228,4,0
2,0.7824403876909527,0.7712510590228749,4,0
3,0.6678912668305677,0.8064307903336426,4,0
4,0.6082811920761259,0.8267236858030419,4,0
5,0.5623436090675623,0.8431839270585387,4,0
6,0.524012036442723,0.8571025134142898,4,0
7,0.49156424116793984,0.8690442570702385,4,0
8,0.46362419558277423,0.8785653770121434,4,0
9,0.4395780558809659,0.886190341711381,4,0
10,0.4181829729600379,0.892847056925001,4,0
11,0.39963418642267046,0.8988582724815427,4,0
12,0.3830142693159228,0.9034574575382257,4,0
13,0.36794465267702,0.9073707992092629,4,0
14,0.35427140385512457,0.9112034534231653,4,0
15,0.3413508659294135,0.9154395449227417,4,0
16,0.32923567807330056,0.9186266994795659,4,0
17,0.3183328449766984,0.9221366038649292,4,0
18,0.3079306114193421,0.9258482268931295,4,0
19,0.2980427296812139,0.9291160689070884,4,0
20,0.2887537577908089,0.9318190987211038,4,0
