round,loss,accuracy
1,1.0199141022690599,0.9256926952141058
2,0.8610197875827026,0.9685138539042821
3,0.6092967857566829,0.9779596977329975
4,0.45443345630724424,0.982367758186398
5,0.3692273344253413,0.9829974811083123
6,0.3184638701341765,0.9842569269521411
7,0.28996559948442263,0.9867758186397985
8,0.2623733650348724,0.9886649874055415
9,0.2408036702647993,0.9905541561712846
10,0.22160245102809117,0.9924433249370277
11,0.2045471233501092,0.9943324937027708
12,0.18958630603069548,0.9949622166246851
13,0.17557635110209435,0.9943324937027708
14,0.16292823127632777,0.9949622166246851
15,0.15191935847679935,0.9955919395465995
16,0.14289829369179285,0.9943324937027708
17,0.13452317101191213,0.9943324937027708
18,0.12700916248812372,0.9943324937027708
19,0.12044618403074574,0.9955919395465995
20,0.11560655607940437,0.9955919395465995
21,0.10978275524881628,0.9955919395465995
22,0.1043344698922582,0.9955919395465995
23,0.09834249822777093,0.9968513853904282
24,0.09453253255586987,0.9968513853904282
25,0.08929976608964288,0.9974811083123426
26,0.08496998349334857,0.9981108312342569
27,0.08064076656584748,0.9981108312342569
28,0.07766269763253666,0.9987405541561712
29,0.07452784543645848,0.9987405541561712
30,0.07121846078272195,0.9981108312342569
31,0.06670439771114982,0.9993702770780857
32,0.06381534517760874,0.9993702770780857
33,0.060604073626859586,0.9993702770780857
34,0.058373929768353844,0.9993702770780857
35,0.055246322259473464,0.9993702770780857
36,0.05257575550106042,0.9993702770780857
37,0.05129993589763865,0.9993702770780857
38,0.04995835420979956,0.9993702770780857
39,0.048768419974867104,1.0
40,0.04789272967405777,1.0
41,0.04746777196112734,1.0
42,0.046251969944342025,1.0
43,0.0453993487774432,1.0
44,0.04507501848626727,0.9993702770780857
45,0.045191308619543645,0.9987405541561712
46,0.052036087742275895,0.9993702770780857
47,0.05837432021573972,0.9981108312342569
48,0.06426416835737396,0.9981108312342569
49,0.039475881377140046,0.9974811083123426
50,0.053815874137763335,0.9987405541561712
51,0.03009404775628501,1.0
52,0.04628471998639771,0.9987405541561712
53,0.0526774129652159,0.9987405541561712
54,0.03661854447144781,1.0
55,0.03129632471025785,1.0
56,0.035916668010260666,0.9974811083123426
57,0.03252379998782596,1.0
58,0.0640288718320108,0.9981108312342569
59,0.0479198152363454,0.9987405541561712
60,0.036581545712567644,0.9993702770780857
