round,exp_loss,exp_acc
1,0.911848719766361,0.7275242047026279
2,0.6790178410033185,0.7960877296976882
3,0.5121653881192655,0.8684054534676942
4,0.4308936783646058,0.8954752025291445
5,0.38261048749863596,0.9059474412171508
6,0.3496774847011419,0.9146413752222881
7,0.3245666135066443,0.9191859316340644
8,0.30410286265384345,0.9255087927287098
9,0.28697398519285156,0.9298557597312784
10,0.2723018586299938,0.9336099585062241
11,0.2593121962705353,0.9389448725548311
12,0.24865914731069508,0.943094250148192
13,0.2380406873142783,0.9462556806955147
14,0.22863261117821648,0.9494171112428373
15,0.2199590414309073,0.950800237107291
16,0.21219548911027017,0.9531713100177831
17,0.204797492553019,0.9559375617466904
18,0.19791609666559964,0.9585062240663901
19,0.19095423422507962,0.9596917605216361
20,0.18414395951313173,0.9620628334321281
21,0.177705123269777,0.9632483698873741
22,0.17176334996558865,0.9640387275242047
23,0.16610810407959078,0.9664098004346967
24,0.16083490619473814,0.9675953368899427
25,0.1556332452044942,0.9689784627543964
26,0.15025461077207258,0.9705591780280577
27,0.14481278694834876,0.9729302509385497
28,0.1399745832222579,0.9729302509385497
29,0.1352923530595761,0.9743133768030033
30,0.131002468975418,0.9760916814858723
31,0.12677327483874776,0.9766844497134953
32,0.1228708474650446,0.9766844497134953
33,0.11908392159452648,0.978067575577949
34,0.11457505138218109,0.979845880260818
35,0.11079739905692117,0.9806362378976486
36,0.10646961761001447,0.98221695317131
37,0.10179932101032899,0.983402489626556
38,0.09771588050172018,0.9847856154910097
39,0.09333772193570543,0.9857735625370481
40,0.08953792308423152,0.9861687413554634
41,0.08610669396724939,0.9869590989922941
42,0.08263666880999929,0.9879470460383324
43,0.07938810704525127,0.988737403675163
44,0.07668986918603071,0.989330171902786
45,0.07450654651072393,0.991108476585655
46,0.07158237694221814,0.9920964236316934
47,0.06838307670867624,0.992294013040901
48,0.06592382714108172,0.9926891918593164
49,0.06222835036222465,0.9932819600869394
50,0.059945009567831324,0.9936771389053547
51,0.05798181534885206,0.994665085951393
52,0.05486361911776885,0.9948626753606007
53,0.050428501833241296,0.9960482118158467
54,0.04826289439061206,0.9960482118158467
55,0.04592365965120549,0.9966409800434697
56,0.04572227474458838,0.9968385694526773
57,0.04315736767355808,0.997036158861885
58,0.04188148904061086,0.9978265164987157
59,0.054485317491137726,0.994665085951393
60,0.0743283549332143,0.9915036554040704
