round,exp_loss,exp_acc
1,0.834959315299133,0.8117717358828802
2,0.5084563668606921,0.8924409919330744
3,0.33204452063045753,0.9276964445772333
4,0.2557335302282669,0.9420376456528234
5,0.21666576330666049,0.9495070212130265
6,0.19215163497255922,0.9548849716163729
7,0.17495358402083658,0.9572751717956379
8,0.1620172759156851,0.9620555721541679
9,0.15165334012140114,0.9632506722438005
10,0.14277555104116912,0.9656408724230654
11,0.1351744055387366,0.9683298476247386
12,0.12832354532829107,0.9698237227367792
13,0.12226076188828648,0.9725126979384523
14,0.11645407534853038,0.9743053480729011
15,0.11107984154499358,0.9752016731401255
16,0.10601305733327727,0.9769943232745743
17,0.10126292935152677,0.9778906483417986
18,0.09675260369666198,0.9790857484314311
19,0.09229336558552617,0.9802808485210637
20,0.0879932326374034,0.9826710487003286
