round,loss,accuracy
1,1.0345016717910767,0.9264705882352942
2,0.9167168017695931,0.9586397058823529
3,0.8214454554459628,0.9669117647058824
4,0.7486892517875222,0.96875
5,0.6979564068948522,0.96875
6,0.6591532879015979,0.9641544117647058
7,0.6290692669503829,0.9604779411764706
8,0.6018523622085067,0.9613970588235294
9,0.5741780663237852,0.9595588235294118
10,0.549264090902665,0.9549632352941176
11,0.524995484334581,0.9549632352941176
12,0.504113367813475,0.9558823529411765
13,0.4838942425215946,0.9540441176470589
14,0.4648783750393811,0.953125
15,0.45131565148339553,0.9558823529411765
16,0.43892643337740617,0.9540441176470589
17,0.42757534016581145,0.9522058823529411
18,0.41653839893200817,0.9503676470588235
19,0.40489684571238127,0.9540441176470589
20,0.395227131598136,0.9549632352941176
