round,loss,accuracy
1,1.0236708009122901,0.9061712846347607
2,0.833015365174195,0.9691435768261965
3,0.6010607856722262,0.9767002518891688
4,0.4558555734360248,0.9811083123425692
5,0.3733489887052279,0.9829974811083123
6,0.323288785608049,0.9855163727959698
7,0.29056609483900236,0.9874055415617129
8,0.2607419989740368,0.9867758186397985
9,0.23802794639480954,0.989294710327456
10,0.21761867970753676,0.9918136020151134
11,0.1975339304665174,0.9943324937027708
12,0.18100195487853263,0.9943324937027708
13,0.16760607360292143,0.9943324937027708
14,0.15503419438606922,0.9955919395465995
15,0.14431442943183465,0.9949622166246851
16,0.1348243048555342,0.9949622166246851
17,0.1260133273711883,0.9949622166246851
18,0.11787911529139022,0.9949622166246851
19,0.11140635707333534,0.9955919395465995
20,0.10532604749560806,0.9949622166246851
