round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.9474783331997909,0.6873105065286818,4,0
2,0.8096354791205052,0.7258762178113757,4,0
3,0.6736893924725356,0.7874439099324898,4,0
4,0.5772000290777215,0.8217649674576545,4,0
5,0.5151679368712472,0.8412095241945264,4,0
6,0.4696221674495079,0.857258357925375,4,0
7,0.4339579858134923,0.8683348829688321,4,0
8,0.4048059088340133,0.8781582245219711,4,0
9,0.3809525591642473,0.8854751990944739,4,0
10,0.36096251992177536,0.8916198407244209,4,0
11,0.34358577873030266,0.8978453329021304,4,0
12,0.32824686788754115,0.9040303998059587,4,0
13,0.31446500635597197,0.9083154788373691,4,0
14,0.30189709982329094,0.9129239600598295,4,0
15,0.2904838870810379,0.9171686138173586,4,0
16,0.28003997966365834,0.9214536928487691,4,0
17,0.27069619708550813,0.9253749444152484,4,0
18,0.26167329155487246,0.927921736669766,4,0
19,0.25361761412455924,0.9308727816630957,4,0
20,0.24575533657406468,0.9329344706310385,4,0
