round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,1.0304486936821093,1.0304486936821093,0.44540383395038785,0.2945206573250046,0.28749299674609974,,1.3054591068148749,0.3645479540676047,,,,4,0
2,0.9460604337554281,0.9460604337554281,0.629732788346853,0.6376302368253589,0.5486808857964309,,1.1818011164684503,0.5608927704997574,,,,4,0
3,0.9283560449331707,0.9283560449331707,0.6691717493537179,0.6379469747723451,0.5953609682114406,,1.2145753340988739,0.5772278829047388,,,,4,0
4,0.8675510328896202,0.8675510328896202,0.6904981794063082,0.6434386449952303,0.6118378481238088,,1.1991227049282331,0.576580947759987,,,,4,0
5,0.8075454346857105,0.8075454346857105,0.7036819141000956,0.6508303686580347,0.62233146603642,,1.1709221186962557,0.5731845382500405,,,,4,0
6,0.7554014410480583,0.7554014410480583,0.7185229873010609,0.6586369104307356,0.6365898963037534,,1.141145641453228,0.5751253436842957,,,,4,0
7,0.7156271645941732,0.7156271645941732,0.7340746137738516,0.6728558668240293,0.652945090688196,,1.1129232077426592,0.5830502992075044,,,,4,0
8,0.6887735707392658,0.6887735707392658,0.7510373508929342,0.6990661824303397,0.6726042161145568,,1.0956368826362244,0.5945333980268478,,,,4,0
9,0.6694142337608978,0.6694142337608978,0.7619863028689439,0.7194111093320343,0.6845756032944539,,1.0797672556882225,0.6037522238395601,,,,4,0
10,0.6541026443752298,0.6541026443752298,0.7743475292137871,0.7349969575103581,0.7002560563360368,,1.0634896280155124,0.6150735888727155,,,,4,0
11,0.6442898430421908,0.6442898430421908,0.7844537808768904,0.7464735209612199,0.7126134605663988,,1.0517166143826406,0.6231602781821123,,,,4,0
12,0.6388270454867866,0.6388270454867866,0.7893535123930339,0.7559877704328227,0.719839538008402,,1.0504283413963373,0.6281740255539382,,,,4,0
13,0.6352634172548437,0.6352634172548437,0.7937927118145715,0.7619334061212695,0.7249576816666744,,1.0475086381322412,0.6339964418567039,,,,4,0
14,0.6323393479182148,0.6323393479182148,0.7963718925702624,0.7685249010190239,0.7278029064506477,,1.0474236671272537,0.6352903121462073,,,,4,0
15,0.6248943402838002,0.6248943402838002,0.8027486964746509,0.7801484030563619,0.7355244307363714,,1.0365199219075758,0.6411127284489729,,,,4,0
16,0.6228373757784204,0.6228373757784205,0.8055288489248618,0.7857835496157316,0.7394180799418771,,1.0352468492142999,0.6445091379589196,,,,4,0
17,0.6219077267535933,0.6219077267535933,0.8078652603241565,0.791761360183174,0.7424543272468592,,1.0338749564737058,0.6496846191169335,,,,4,0
18,0.6221345173842047,0.6221345173842047,0.8102477609909505,0.7944793100377097,0.744868063995882,,1.032219953662694,0.653566229985444,,,,4,0
19,0.6286530797256404,0.6286530797256404,0.8104624354038051,0.7947200119748483,0.7465718657793318,,1.0403252066425304,0.6540514313440078,,,,4,0
20,0.6376369794085875,0.6376369794085875,0.8122983623722073,0.794218416522385,0.7500489304911695,,1.0516958386790458,0.6566391719230147,,,,4,0
