round,exp_loss,exp_acc
1,1.7419256251053454,0.5455516014234876
2,1.1590126346014573,0.6637010676156584
3,1.0175752655467105,0.7213523131672598
4,0.945670831076191,0.7469750889679715
5,0.8923169291740635,0.7715302491103203
6,0.8420695850009171,0.7935943060498221
7,0.797205898049039,0.8074733096085409
8,0.7569555480285047,0.8234875444839858
9,0.7216049975771921,0.8316725978647687
10,0.6885944710507512,0.8402135231316726
11,0.660133101952882,0.8473309608540925
12,0.6345787616386956,0.8555160142348754
13,0.6093118219613181,0.8626334519572953
14,0.5852601859493187,0.8665480427046264
15,0.5637233245839428,0.8733096085409253
16,0.5432061807116579,0.8772241992882562
17,0.5248203683578246,0.8807829181494662
18,0.5073883865227479,0.8850533807829182
19,0.4919323501425706,0.8879003558718861
20,0.47588824928867435,0.8928825622775801
