class_idx,class_name,precision,recall,f1,auc_roc,auprc
0,COVID,0.9603960396039604,0.9150943396226415,0.9371980676328503,0.9971728350266086,0.9867134715162102
1,NORMAL,0.9403973509933775,0.6068376068376068,0.7376623376623377,0.9419458229942099,0.9118325674346801
2,PNEUMONIA,0.8096234309623431,0.9923076923076923,0.8917050691244239,0.9668061840120663,0.9606463491585165
