round,exp_loss,exp_acc
1,0.8788020099174595,0.7905587092919032
2,0.570237104914813,0.8861667164625038
3,0.37019954508263425,0.9217209441290708
4,0.2826517537071486,0.9312817448461309
5,0.24051332615331497,0.938751120406334
6,0.21568694479222578,0.9477143710785778
7,0.19836636760678616,0.9521959964146998
8,0.18489560255825893,0.9545861965939647
9,0.1737216167577103,0.9578727218404541
10,0.16433365396378394,0.9620555721541679
11,0.1564285080086341,0.9632506722438005
12,0.1490128302096893,0.9653420974006574
13,0.14212501210430184,0.9668359725126979
14,0.13597630417574902,0.969524947714371
15,0.1300310778807518,0.9707200478040036
16,0.12460010187338101,0.9734090230056768
17,0.11923176653667603,0.9746041230953092
18,0.11399460252689396,0.9755004481625336
19,0.10901980993371599,0.9769943232745743
20,0.1044761193768726,0.9793845234538393
